sentence,keyword
What may have been the reason for you and your roommate wanting a mellow night ?,"['and', 'for']"
What may happen if you go the Panic At The Disco concert ?,['if']
What was this New York City police officer doing before the incident ?,['before']
What may be true about him as a DJ ?,['as']
What might I continue to do after this ?,['after']
what may have happened before this event ?,['before']
Why did the writer put it on pause and forget about it ?,['and']
Why can I make people believe that I ' m not as pathetic and horrible as I am ?,"['as', 'and']"
What must they decided to do before attending the Rosenbaum event ?,['before']
What happened after I got to the starting area ?,['after']
What may have happened before this story ?,['before']
What happened after the police showed up ?,['after']
Why do you and Mickey not spend time together anymore ?,['and']
What will happen after they are done cleaning the garden and trimming trees ?,"['after', 'and']"
Why did I get a cute t - shirt from a classmate and a wild fern scented candle from a woman ?,['and']
What may have been your reason for staying behind ?,['for']
What may be your reason for wanting to hunt with your nephews ?,['for']
What may he feel if the man did not let go of his arm ?,['if']
What might I do with the dough balls once formed ?,['once']
What may happen if life was like it was when I grew up in the early 70 's ?,['if']
What will happen if I do n't get home in time to make the sandwiches for Teenager No . 2 ?,"['if', 'for']"
What will I do after I make the sandwiches but before I go to work ?,"['but', 'before', 'after']"
what may have happened before this discussion ?,['before']
What may   happen after I leave work today ?,['after']
What may have been your reason for getting your blood drawn ?,['for']
What may have caused her to refuse the $ 350 million ear mark for a bridge ?,['for']
What might be the reason for my sarcasm in referring to my city as fair ?,"['as', 'for']"
What may be the reason for you wanting to fix your cell ?,['for']
What will you do now that the graduation festivities are over ?,['now that']
What may be your reason for wanting to rewatch that episode of The Office ?,['for']
What may be the reason for you thinking that the game is stupid ?,['for']
"Why should you stop yourself from asking "" What If ?",['if']
What may be your reason for not hanging acrylic in the kitchen ?,['for']
What will I do after she warns me about the risks of amputation if I do n't listen to my doctor ?,"['if', 'after']"
Why did n't I want to use my crutches before she chastened me ?,['before']
What will happen after the ceremony ?,['after']
What 's a possible reason Glyn got chips and curry sauce for lunch ?,"['and', 'for']"
What may have caused you to become tired after you met with your clients ?,['after']
