sentence,keyword
What do Wang Baoxuan and his schoolmates do with the waste exercise books?,['and']
People have the festival because they think monkeys   _  .,['because']
What is the best title  for the passage?,['for']
Their bus was hit by a truck because  _  .,['because']
The big boy stopped Tom at the door because  _  .,['because']
The author thinks a part-time job can teach teenagers many skills except   _  .,['except']
American teenagers like to babysit because they   _  .,['because']
"According to the passage, what will happen to you if you don't have any breakfast?",['if']
"When you are getting into trouble or feeling sad, you should   _  to your best friend.",['or']
"When one of your best friend has suddenly fallen badly ill, you usually   _  to show your worry about his health and try your best to care for him.","['and', 'for']"
"Don't lose heart, and you are sure to win the match."" Here ""Don't lose heart"" means""  _  "".",['and']
Lin Tao doesn't speak t  the first year because   _  .,['because']
_  is mentioned in the passage as the power of kitesurfing.,['as']
The most important reason for the popularity of kitesurfing is that   _  .,['for']
Kyle walked into Ernie's Pet World and he walked   _   to the front counter .,['and']
Why did Kyle look anxious and pained?,['and']
Mike was chosen in the school team because he  _   .,['because']
Jack thinks he can be a famous   _   or a famous writer.,['or']
"According to Billy, if you want to buy something expensive, you'd better  _  .",['if']
Mr Smith and Tom are listening to a  _  concert.,['and']
"As Nick got off the bus, a man came to him because  _  .","['because', 'as']"
What did the two police officers do for Christopher?,['for']
How much is it for piano lesson? It's  _  .,['for']
"If you want to learn about guitar and singing, you should pay  _  .","['if', 'and']"
Ann finally stayed to play with the writer because   _  .,"['because', 'finally']"
"According to Robert Foss, the high death rate of teenage drivers is mainly because   _  .",['because']
The new way of using cow wastes at Blue Farm might be best described as   _  .,['as']
What is the main purpose for writing the passage?,['for']
Where do Lin Tao and Chen Hai sit in the classroom?,['and']
What do they do after school?,['after']
The British people like to talk about weather because   _  .,['because']
"After hearing what the clerk had said about the couple,the writer was   _  .",['after']
You may have a good memory and learn better if you    _   .,"['if', 'and']"
"If you need help and want to help others, you'd better    _   .","['if', 'and']"
The passage is mainly written for    _   .,['for']
The writer's life was   _   because of the girl.,['because']
What's the best title for the passage?,['for']
Most people like walking because  _  .,['because']
Jack would have to leave the university because   _  .,['because']
Jack didn't know when Napoleon had died because  _  .,['because']
"As for how to be a parent, Xiao Baiyu thinks   _  .","['as', 'for']"
Some people disagree that we should praise the teacher except   _,['except']
