sentence,keyword
"The statements above, if true, most strongly support which one of the following conclusions?",['if']
The argument's conclusion follows logically if which one of the following is assumed?,['if']
"If the shipping clerk's statements are true, which of the following must also be true?",['if']
"If, on the basis of the evidence above, it is argued that PRP contracts increase worker productivity, which of the following, if true, would most seriously weaken that argument?",['if']
"Which one of the following, if true, most weakens the astronomer's argument?",['if']
"Which one of the following, if true, most strengthens the argument?","['if', 'if then']"
"Each of the following, if true, could explain the decrease described above EXCEPT:",['if']
"If the statements above are true, which one of the following must also be true?",['if']
"Which one of the following, if true, most weakens the detective's argument?",['if']
"Each of the following, if true, could help to explain the differing average lengths of visits to the museum EXCEPT:",['if']
"Which of the following, if true, casts the most serious doubt on the traveler's argument?",['if']
Which one of the following is a statement that Leona could offer Thomas to clarify her own claim and to address the point he has made?,['and']
The conclusion follows logically if which one of the following is assumed?,['if']
"Which one of the following, if true, most seriously weakens the argument above?",['if']
The reasoning in the argument is flawed because the argument,['because']
"Which one of the following would, if true, help most to resolve the apparent paradox described above?",['if']
The conclusion of the argument follows logically if which one of the following is assumed?,['if']
The reasoning of the argument above is questionable because the argument,['because']
Dario and Cynthia disagree over whether,['and']
The reasoning in Bardis's argument is flawed because that argument,['because']
"Which of the following, if true, would argue against the proposal above?",['if']
The argument criticizing the newspaper article is directed toward establishing which one of the following as its main conclusion?,['as']
"The statements above, if true, most strongly support which one of the following claims?",['if']
"Which of the following, if true, casts most doubt on the department head's conclusion?",['if']
"Which one of the following can be properly concluded from the information above, together with the fact that in the first quarter for which the program was used, some employers in X issued separate paychecks for the regular hours an employee worked, for the employee's overtime, and for bonuses and commissions?","['and', 'for']"
"Which one of the following, if true, most weakens the argument?",['if']
"Which one of the following, if true, would most strengthen the archaeologist's argument?","['if', 'if then']"
"If all of the statements in the passage above are true, which one of the following must also be true?",['if']
"Which of the following, if true, most weakens the argument above?",['if']
"Which one of the following, if true, most helps to explain this preference?",['if']
Which one of the following most accurately expresses the overall conclusion drawn in the argument?,['overall']
"Which of the following, if performed by the government, could logically be expected to overcome the problem with the plan to limit the spread of this virus in the Bluetail Moonbeam?",['if']
"Which one of the following, if true, most seriously weakens the argument?",['if']
"Which of the following, if true, most seriously weakens the argument?",['if']
